Date,NVDA,AAPL,MSFT,TSLA,AMD,GOOGL,GLD,TLT,SPY
2025-01-01,119.89093780517578,234.50177001953125,410.1938781738281,404.6000061035156,115.94999694824219,202.9599151611328,258.55999755859375,82.15760040283203,591.6903686523438
2025-02-01,124.73370361328125,240.5688934326172,393.1224060058594,292.9800109863281,99.86000061035156,169.39520263671875,263.2699890136719,86.83819580078125,584.1790161132812
2025-03-01,108.22832489013672,220.96249389648438,371.73291015625,259.1600036621094,102.73999786376953,154.01365661621094,288.1400146484375,85.79207611083984,551.62890625
2025-04-01,108.76756286621094,211.38311767578125,391.4092712402344,282.1600036621094,97.3499984741211,158.1568145751953,303.7699890136719,84.62488555908203,546.84619140625
2025-05-01,134.94088745117188,200.05633544921875,456.71197509765625,346.4599914550781,110.7300033569336,171.04440307617188,303.6000061035156,81.90791320800781,581.2127685546875
2025-06-01,157.77987670898438,204.3592529296875,493.4683837890625,317.6600036621094,141.89999389648438,175.7286834716797,304.8299865722656,84.0899887084961,611.0791015625
2025-07-01,177.63340759277344,206.74978637695312,529.2723999023438,308.2699890136719,176.30999755859375,191.35411071777344,302.9599914550781,83.13162231445312,625.1531372070312
2025-08-01,173.9483184814453,231.485107421875,503.501220703125,333.8699951171875,162.6300048828125,212.30435180664062,318.07000732421875,83.14220428466797,637.9810180664062
2025-09-01,186.3423309326172,253.9116668701172,514.6903686523438,444.7200012207031,161.7899932861328,242.6252899169922,355.4700012207031,86.12781524658203,660.7061157226562
2025-10-01,202.23207092285156,269.60723876953125,514.5512084960938,456.55999755859375,256.1199951171875,280.640869140625,368.1199951171875,87.31731414794922,676.4556274414062
2025-11-01,176.7745361328125,278.3328857421875,489.82867431640625,430.1700134277344,217.52999877929688,319.55474853515625,387.8800048828125,87.55509948730469,677.7747192382812
2025-12-01,186.27281188964844,271.3558349609375,481.4758605957031,449.7200012207031,214.16000366210938,312.5931091308594,396.30999755859375,85.22736358642578,678.3152465820312
2026-01-01,190.8971710205078,258.99884033203125,428.3822937011719,430.4100036621094,236.72999572753906,337.56060791015625,444.95001220703125,85.19801330566406,688.3120727539062
2026-02-01,176.97415161132812,263.93682861328125,391.8912048339844,402.510009765625,200.2100067138672,311.354736328125,483.75,89.14588165283203,682.3637084960938
2026-03-01,174.1969757080078,253.55638122558594,369.3699951171875,371.75,203.42999267578125,287.3883361816406,430.2900085449219,85.37496948242188,648.6688842773438
2026-04-01,199.33767700195312,271.1002502441406,406.8987121582031,381.6300048828125,354.489990234375,384.5702819824219,423.6600036621094,84.65811157226562,716.8132934570312
2026-05-01,210.8942108154297,312.05999755859375,450.239990234375,435.7900085449219,516.0999755859375,380.1129455566406,417.1199951171875,85.10967254638672,754.5361328125
2026-06-01,200.08999633789062,289.3599853515625,373.0199890136719,420.6000061035156,580.9099731445312,357.3699951171875,368.3800048828125,86.10199737548828,746.77001953125
2026-07-01,197.00999450683594,340.0799865722656,393.3500061035156,307.44000244140625,454.6199951171875,333.7099914550781,369.3699951171875,84.23999786376953,740.8599853515625
